distance	shared	n	spearman_rho	p_descriptive
distance	ASD	27	-0.08153333157227755	0.68600178082763
distance	SCZ	27	0.31457496127694823	0.11001885601817456
distance	BIP	27	0.13089067405664478	0.5152053095868138
distance	MDD	27	0.0349874832800578	0.8624545775204083
distance	PTSD	27	0.18805772263031065	0.3475479368486246
distance	all	135	0.12763939438689598	0.1401355700053953
snomed_distance	ASD	27	0.5389428011862168	0.0037244270494493597
snomed_distance	SCZ	27	0.8425105830788616	3.547801175863124e-08
snomed_distance	BIP	27	0.6589872035495609	0.0001855293468383854
snomed_distance	MDD	27	0.17660982756073115	0.378196775380341
snomed_distance	PTSD	27	0.2708855362230431	0.17172837492230064
snomed_distance	all	135	0.4892530678780799	1.7300723884018886e-09
