shared	family	def1	def2	rg1	rg2	delta	se_delta	z	p	error_corr	min_detectable_delta	distance	icd10_jaccard	source_jaccard	log_case_ratio
ASD	Epilepsy	G6_EPLEPSY	FE	-0.0369	-0.166	0.1291	0.07038337748790079	1.8342399101576625	0.06661838953950124	0.7987046866119435	0.1971850299709679	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.5228287686273466
ASD	Epilepsy	G6_EPLEPSY	FE_STRICT	-0.0369	-0.1842	0.1473	0.08633270080214035	1.7061901067775715	0.08797269011967115	0.7606187247935869	0.241868418407046	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6150386380705487
ASD	Epilepsy	G6_EPLEPSY	FE_MODE	-0.0369	-0.2337	0.19679999999999997	0.08666624399942922	2.270780305205059	0.023160280779670694	0.70027230839007	0.24280286809817267	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6669668491621752
ASD	Epilepsy	G6_EPLEPSY	GE	-0.0369	-0.0414	0.004499999999999997	0.1074910523018647	0.0418639496370614	0.9666071552110039	0.21309146327662057	0.3011453432083121	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.2254228481858638
ASD	Epilepsy	G6_EPLEPSY	GE_STRICT	-0.0369	-0.1066	0.0697	0.24918901576446734	0.2797073530154323	0.7797020365335862	0.13049591329288074	0.6981242630818512	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.8859711002633803
ASD	Epilepsy	G6_EPLEPSY	GE_MODE	-0.0369	-0.0361	-0.0008000000000000021	0.12542039532175964	-0.00637854790640424	0.9949106896156683	0.17972816056315308	0.3513759255833267	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.5390804070409048
ASD	Epilepsy	FE	FE_STRICT	-0.166	-0.1842	0.018199999999999994	0.040173002998371815	0.45304056559420336	0.6505195313996408	0.9519461763877842	0.11254809136744644	0.33333333333333337	1.0	1.0	0.0922098694432019
ASD	Epilepsy	FE	FE_MODE	-0.166	-0.2337	0.06769999999999998	0.04722974316407505	1.433418762511829	0.15173819961789772	0.920543509993514	0.13231815030374466	0.33333333333333337	1.0	1.0	0.1441380805348285
ASD	Epilepsy	FE	GE	-0.166	-0.0414	-0.12460000000000002	0.13731880464720841	-0.9073775461424616	0.3642071791971252	0.14236074125900147	0.38471033326856147	0.33333333333333337	0.0	1.0	1.7025940795585168
ASD	Epilepsy	FE	GE_STRICT	-0.166	-0.1066	-0.05940000000000001	0.2786941856391148	-0.21313684698437857	0.8312202251376521	-0.05988323474049265	0.7807855108605756	0.6666666666666667	0.0	1.0	2.3631423316360336
ASD	Epilepsy	FE	GE_MODE	-0.166	-0.0361	-0.12990000000000002	0.1564739956043727	-0.8301698917974709	0.4064427354812612	0.06456754928991455	0.4383752331042841	0.6666666666666667	0.0	1.0	2.0162516384135585
ASD	Epilepsy	FE_STRICT	FE_MODE	-0.1842	-0.2337	0.04949999999999999	0.052078133037285576	0.9504949028138209	0.34186084264917505	0.9143730539149472	0.1459013277041799	0.33333333333333337	1.0	1.0	0.0519282110916264
ASD	Epilepsy	FE_STRICT	GE	-0.1842	-0.0414	-0.1428	0.16535490879915463	-0.8635969808035725	0.3878093233015213	-0.07918074076446874	0.4632558682341296	0.6666666666666667	0.0	1.0	1.6103842101153147
ASD	Epilepsy	FE_STRICT	GE_STRICT	-0.1842	-0.1066	-0.0776	0.2881050523913287	-0.2693461963124378	0.7876632856990001	-0.08206907901700958	0.8071508560432088	0.6666666666666667	0.0	1.0	2.270932462192832
ASD	Epilepsy	FE_STRICT	GE_MODE	-0.1842	-0.0361	-0.1481	0.17872369366503843	-0.8286534200527831	0.40730055048680913	-0.07705783934204385	0.500709658298522	0.6666666666666667	0.0	1.0	1.9240417689703564
ASD	Epilepsy	FE_MODE	GE	-0.2337	-0.0414	-0.1923	0.150242650305639	-1.2799294981072527	0.20056993218102603	0.040883220040439025	0.420917588226394	0.6666666666666667	0.0	1.0	1.558455999023688
ASD	Epilepsy	FE_MODE	GE_STRICT	-0.2337	-0.1066	-0.1271	0.2844412137034948	-0.44684101275313315	0.6549898567008021	-0.08422185349240545	0.7968862997338229	0.6666666666666667	0.0	1.0	2.219004251101205
ASD	Epilepsy	FE_MODE	GE_MODE	-0.2337	-0.0361	-0.1976	0.1679750674207717	-1.1763650584227412	0.23944902829149817	-0.016583420386491608	0.47059646589756327	0.33333333333333337	0.0	1.0	1.8721135578787296
ASD	Epilepsy	GE	GE_STRICT	-0.0414	-0.1066	0.06520000000000001	0.20035617267603736	0.325420470600744	0.7448628646171375	0.6429574467894331	0.5613148917268757	0.33333333333333337	1.0	1.0	0.660548252077517
ASD	Epilepsy	GE	GE_MODE	-0.0414	-0.0361	-0.005299999999999999	0.0648749916162664	-0.08169557895821147	0.9348887940895424	0.8251963881444837	0.18175281753733472	0.33333333333333337	1.0	1.0	0.3136575588550416
ASD	Epilepsy	GE_STRICT	GE_MODE	-0.1066	-0.0361	-0.07050000000000001	0.18700658979480875	-0.37699206256504375	0.7061795036359161	0.6949867263166504	0.5239148976588517	0.33333333333333337	1.0	1.0	0.3468906932224753
ASD	Sleep apnoea	G6_SLEEPAPNO	G6_SLEEPAPNO_INCLAVO	0.1125	0.0997	0.012800000000000006	0.010236861405624364	1.250383246662634	0.21115958156088166	0.9774661481275633	0.028679439593868362	0.44444444444444453	1.0	0.6666666666666666	0.0976805772971709
ASD	Sleep apnoea	G6_SLEEPAPNO	SLEEP	0.1125	0.1394	-0.026899999999999993	0.013213798883926044	-2.035750675206852	0.04177539768302736	0.9707227600835802	0.037019583628324845	0.7581699346405228	0.0588235294117647	0.6666666666666666	0.1345241316552441
ASD	Sleep apnoea	G6_SLEEPAPNO_INCLAVO	SLEEP	0.0997	0.1394	-0.0397	0.01659887284608263	-2.3917286654418395	0.016769234410062114	0.9507666455561237	0.04650315680292184	0.8137254901960784	0.0588235294117647	0.5	0.036843554358073
ASD	Insomnia	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.2174	0.3108	-0.09340000000000001	0.053175932448851514	-1.7564337040979758	0.07901438212015448	0.8281352010485485	0.14897690630807614	0.6333333333333333	0.1	1.0	0.2071965276612578
ASD	Constipation	K11_CONSTIPATION	K11_OTHFUNC	0.0942	0.0845	0.0097	0.07346716477293658	0.13203177269708974	0.8949591607552092	0.38786082373883624	0.2058245228445289	0.7361111111111112	0.125	0.6666666666666666	0.8161211235429875
ASD	ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.5314	0.5477	-0.01629999999999998	0.044296382305993046	-0.367975874133511	0.7128912236429704	0.9171856986627485	0.12410008988435096	0.6000000000000001	0.2	1.0	0.0620505905283163
SCZ	Epilepsy	G6_EPLEPSY	FE	0.0934	0.1532	-0.059800000000000006	0.04732858043744877	-1.2635071546046883	0.20640697702581445	0.8125500003021406	0.13259505134782706	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.5228287686273466
SCZ	Epilepsy	G6_EPLEPSY	FE_STRICT	0.0934	0.1839	-0.09050000000000001	0.059016515673108505	-1.5334690462120468	0.12516032772099486	0.736460665225814	0.1653397979343131	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6150386380705487
SCZ	Epilepsy	G6_EPLEPSY	FE_MODE	0.0934	0.139	-0.045600000000000016	0.05210395544651754	-0.8751734798101163	0.3814795207703289	0.7527282712690062	0.14597367138418021	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6669668491621752
SCZ	Epilepsy	G6_EPLEPSY	GE	0.0934	-0.0286	0.122	0.06348669254573072	1.921662558056887	0.054648231424045735	0.43660930577763735	0.17786337938300198	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.2254228481858638
SCZ	Epilepsy	G6_EPLEPSY	GE_STRICT	0.0934	-0.0334	0.1268	0.15685713606061047	0.808378905700559	0.4188724914680819	0.28598552835400526	0.4394486337429409	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.8859711002633803
SCZ	Epilepsy	G6_EPLEPSY	GE_MODE	0.0934	-0.072	0.1654	0.0729785678261101	2.2664188257860487	0.023425752025992227	0.3893592068230335	0.20445567686068472	0.7474747474747474	0.0909090909090909	0.6666666666666666	2.5390804070409048
SCZ	Epilepsy	FE	FE_STRICT	0.1532	0.1839	-0.030700000000000005	0.026839333132173897	-1.1438436211814107	0.2526884957267961	0.9499471661630642	0.07519267896710802	0.33333333333333337	1.0	1.0	0.0922098694432019
SCZ	Epilepsy	FE	FE_MODE	0.1532	0.139	0.01419999999999999	0.02792612664332167	0.5084844089323722	0.6111136703379008	0.9362499356935231	0.07823742360308071	0.33333333333333337	1.0	1.0	0.1441380805348285
SCZ	Epilepsy	FE	GE	0.1532	-0.0286	0.18180000000000002	0.08778415713369024	2.070988728901606	0.038359849370306384	0.2700025035016509	0.24593479701025267	0.33333333333333337	0.0	1.0	1.7025940795585168
SCZ	Epilepsy	FE	GE_STRICT	0.1532	-0.0334	0.1866	0.176028977479672	1.0600527405866953	0.28912060623476155	0.07458571972927204	0.49316018126658967	0.6666666666666667	0.0	1.0	2.3631423316360336
SCZ	Epilepsy	FE	GE_MODE	0.1532	-0.072	0.2252	0.09656489146292573	2.3321105278356917	0.01969487735481855	0.21374071220751692	0.2705347725112159	0.6666666666666667	0.0	1.0	2.0162516384135585
SCZ	Epilepsy	FE_STRICT	FE_MODE	0.1839	0.139	0.044899999999999995	0.03474928782827607	1.2921128116894565	0.196318079715891	0.913481285369096	0.09735309111965113	0.33333333333333337	1.0	1.0	0.0519282110916264
SCZ	Epilepsy	FE_STRICT	GE	0.1839	-0.0286	0.21250000000000002	0.10350010901423677	2.0531379340940594	0.040059201821598715	0.08548005137920764	0.28996437548736653	0.6666666666666667	0.0	1.0	1.6103842101153147
SCZ	Epilepsy	FE_STRICT	GE_STRICT	0.1839	-0.0334	0.2173	0.18179977326920366	1.195271017627886	0.2319811594652842	0.036506136183875854	0.5093275574472901	0.6666666666666667	0.0	1.0	2.270932462192832
SCZ	Epilepsy	FE_STRICT	GE_MODE	0.1839	-0.072	0.2559	0.10898278916925708	2.3480771776043587	0.018870610765384686	0.08939365921427168	0.30532457116531275	0.6666666666666667	0.0	1.0	1.9240417689703564
SCZ	Epilepsy	FE_MODE	GE	0.139	-0.0286	0.16760000000000003	0.09328040410454527	1.796733211105733	0.07237798387012122	0.17377719606647196	0.2613330012788983	0.6666666666666667	0.0	1.0	1.558455999023688
SCZ	Epilepsy	FE_MODE	GE_STRICT	0.139	-0.0334	0.1724	0.18038411910074445	0.9557382371544286	0.33920449911754325	0.013873851462931353	0.5053614816549749	0.6666666666666667	0.0	1.0	2.219004251101205
SCZ	Epilepsy	FE_MODE	GE_MODE	0.139	-0.072	0.21100000000000002	0.1012972144222764	2.0829792922084414	0.037253111139787846	0.13459569176335537	0.28379277856146934	0.33333333333333337	0.0	1.0	1.8721135578787296
SCZ	Epilepsy	GE	GE_STRICT	-0.0286	-0.0334	0.004799999999999999	0.11956128773680645	0.04014677401740913	0.9679761115653488	0.7783014173323565	0.33496113638198827	0.33333333333333337	1.0	1.0	0.660548252077517
SCZ	Epilepsy	GE	GE_MODE	-0.0286	-0.072	0.043399999999999994	0.03714711096811994	1.168327734483749	0.24267459224032528	0.8715639106508489	0.10407079698388695	0.33333333333333337	1.0	1.0	0.3136575588550416
SCZ	Epilepsy	GE_STRICT	GE_MODE	-0.0334	-0.072	0.038599999999999995	0.11450553882454335	0.3371015969729352	0.7360403136071938	0.7826414390100355	0.32079702496290124	0.33333333333333337	1.0	1.0	0.3468906932224753
SCZ	Sleep apnoea	G6_SLEEPAPNO	G6_SLEEPAPNO_INCLAVO	0.0171	0.008	0.0091	0.0059288988843349145	1.5348549836199155	0.12481945327014929	0.9719491036645189	0.016610315474039166	0.44444444444444453	1.0	0.6666666666666666	0.0976805772971709
SCZ	Sleep apnoea	G6_SLEEPAPNO	SLEEP	0.0171	0.0674	-0.0503	0.008097484431577501	-6.211805706454549	5.237916796808527e-10	0.9517623935148962	0.02268579268740742	0.7581699346405228	0.0588235294117647	0.6666666666666666	0.1345241316552441
SCZ	Sleep apnoea	G6_SLEEPAPNO_INCLAVO	SLEEP	0.008	0.0674	-0.0594	0.010126739178234059	-5.8656591183538715	4.473520228459212e-09	0.9235663013040241	0.028370922789426007	0.8137254901960784	0.0588235294117647	0.5	0.036843554358073
SCZ	Insomnia	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.3709	0.4613	-0.09039999999999998	0.041429152123915625	-2.1820383803562122	0.029106700254854734	0.7754369999818411	0.1160673001893155	0.6333333333333333	0.1	1.0	0.2071965276612578
SCZ	Constipation	K11_CONSTIPATION	K11_OTHFUNC	0.2261	0.3393	-0.1132	0.046415027323581486	-2.438865309952924	0.014733458588210327	0.508764639631046	0.13003565444805543	0.7361111111111112	0.125	0.6666666666666666	0.8161211235429875
SCZ	ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.3659	0.4018	-0.03589999999999999	0.023986669219902303	-1.4966646544745326	0.13448053763842976	0.9392755142119547	0.06720069791824362	0.6000000000000001	0.2	1.0	0.0620505905283163
BIP	Epilepsy	G6_EPLEPSY	FE	0.1944	0.2867	-0.09230000000000002	0.05685435350369808	-1.6234464787994887	0.10449399578925349	0.7689806244781164	0.15928231636132978	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.5228287686273466
BIP	Epilepsy	G6_EPLEPSY	FE_STRICT	0.1944	0.3412	-0.1468	0.07548663974605045	-1.944714991869548	0.051809290168201905	0.687476779422505	0.21148225407755383	0.6868686868686869	0.2727272727272727	0.6666666666666666	0.6150386380705487
