trait1	trait2	rg	se	p	h2_obs_2	gcov_int	gcov_int_se	se_rebuilt	se_check_ok
ASD	G6_EPLEPSY	-0.0369	0.0751	0.6235	0.0115	0.0066	0.0068	0.07509444423553722	True
ASD	FE	-0.166	0.1139	0.145	0.0034	0.0094	0.0062	0.11394159513222732	True
ASD	FE_STRICT	-0.1842	0.1284	0.1513	0.0029	0.0107	0.0062	0.12836887592425564	True
ASD	FE_MODE	-0.2337	0.1207	0.0529	0.0034	0.0113	0.0062	0.12068361236794355	True
ASD	GE	-0.0414	0.0946	0.6615	0.0043	0.0003	0.0061	0.09455906167047536	True
ASD	GE_STRICT	-0.1066	0.2476	0.6667	0.0007	0.0025	0.0057	0.24760620549452786	True
ASD	GE_MODE	-0.0361	0.1149	0.7533	0.0033	0.0007	0.0059	0.114853667239067	True
ASD	G6_SLEEPAPNO	0.1125	0.0481	0.0193	0.0459	0.0025	0.0079	0.04809731422830805	True
ASD	G6_SLEEPAPNO_INCLAVO	0.0997	0.0483	0.0391	0.0467	0.0057	0.0081	0.04832137497547159	True
ASD	SLEEP	0.1394	0.0531	0.0087	0.0408	0.0039	0.0081	0.0531024472802617	True
ASD	F5_INSOMNIA	0.2174	0.0945	0.0215	0.0054	0.0024	0.0065	0.09453402089924111	True
ASD	KRA_PSY_SLEEP_NONORG_EXMORE	0.3108	0.0827	0.0002	0.0103	0.0002	0.006	0.08274175543594128	True
ASD	K11_CONSTIPATION	0.0942	0.056	0.0925	0.0138	-0.0012	0.0064	0.05596411865815781	True
ASD	K11_OTHFUNC	0.0845	0.074	0.2536	0.0098	-0.0004	0.0064	0.07401885659907331	True
ASD	F5_ADHD	0.5314	0.1048	0.0	0.0054	0.004	0.0061	0.10480841983067081	True
ASD	KRA_PSY_HYPERKIN_EXMORE	0.5477	0.0814	0.0	0.0102	0.0014	0.006	0.08136031442507247	True
ASD	F5_MILDRET				-0.0003	0.0012	0.0058		
ASD	KRA_PSY_MENTALRET_EXMORE	0.1042	0.1765	0.5549	0.0021	0.004	0.0067	0.17653983929245265	True
ASD	G6_STATUSEPI	-0.1419	0.2773	0.609	0.0008	0.0062	0.0062	0.27731644831740365	True
ASD	G6_SLEEPDISOTH	0.1361	0.1731	0.4318	0.0035	0.0062	0.0073	0.1731015884381434	True
ASD	F5_SLEEP_NOS	0.2243	0.2044	0.2725	0.0018	0.0012	0.0071	0.20443241964423944	True
ASD	K11_IBS	0.2023	0.07	0.0039	0.0123	-0.0107	0.0062	0.07000400527085231	True
ASD	K11_FUNCDYSP	0.0925	0.0926	0.318	0.0078	0.0021	0.0066	0.09263682529790428	True
ASD	K11_REFLUX	0.0931	0.061	0.1273	0.0224	-0.0013	0.0075	0.06104987884109473	True
ASD	N14_NEUROMUSCDYSBLADD	0.2425	0.1183	0.0404	0.0048	-0.0012	0.0066	0.11832787036872139	True
ASD	N14_OTHBLADD	0.1007	0.1504	0.5031	0.0022	0.0036	0.0062	0.1504339976388196	True
ASD	KRA_PSY_DEVWIDE_EXMORE	0.98	0.2173	0.0	0.0035	-0.0109	0.0065	0.2172897544515884	True
ASD	KRA_PSY_AUTISM_EXMORE	0.7148	0.1579	0.0	0.0043	-0.0077	0.0063	0.15787821479033196	True
SCZ	G6_EPLEPSY	0.0934	0.0508	0.0663	0.0115	0.0061	0.0085	0.05084640427431252	True
SCZ	FE	0.1532	0.0782	0.0502	0.0034	-0.0072	0.0085	0.07821493733576132	True
SCZ	FE_STRICT	0.1839	0.0854	0.0313	0.0029	-0.0085	0.0085	0.08540285097921427	True
SCZ	FE_MODE	0.139	0.0782	0.0755	0.0034	-0.005	0.0085	0.07820256476127586	True
SCZ	GE	-0.0286	0.0662	0.6654	0.0043	0.0056	0.0079	0.0662232331903525	True
SCZ	GE_STRICT	-0.0334	0.1636	0.8381	0.0007	0.0049	0.0076	0.16363947378135776	True
SCZ	GE_MODE	-0.072	0.0758	0.342	0.0033	0.0122	0.0079	0.07576586526319175	True
SCZ	G6_SLEEPAPNO	0.0171	0.0251	0.4971	0.0459	0.0208	0.0094	0.02513535528632325	True
SCZ	G6_SLEEPAPNO_INCLAVO	0.008	0.024	0.7392	0.0467	0.0257	0.0092	0.023977922638467403	True
SCZ	SLEEP	0.0674	0.0264	0.0107	0.0408	0.0233	0.0091	0.026390200030332888	True
SCZ	F5_INSOMNIA	0.3709	0.0651	0.0	0.0054	0.0074	0.008	0.06511960597876043	True
SCZ	KRA_PSY_SLEEP_NONORG_EXMORE	0.4613	0.0556	0.0	0.0103	0.0114	0.0081	0.05556299703324057	True
SCZ	K11_CONSTIPATION	0.2261	0.0351	0.0	0.0138	0.0219	0.0085	0.03512308765693365	True
SCZ	K11_OTHFUNC	0.3393	0.0531	0.0	0.0098	-0.0072	0.0084	0.053083563945904313	True
SCZ	F5_ADHD	0.3659	0.0669	0.0	0.0054	0.0149	0.0091	0.06685751876717586	True
SCZ	KRA_PSY_HYPERKIN_EXMORE	0.4018	0.0558	0.0	0.0102	0.018	0.0088	0.05579942638937033	True
SCZ	F5_MILDRET				-0.0003	0.0015	0.0075		
SCZ	KRA_PSY_MENTALRET_EXMORE	0.4802	0.1751	0.0061	0.0021	-0.0029	0.008	0.17512458100599754	True
SCZ	G6_STATUSEPI	0.3413	0.3387	0.3136	0.0008	-0.0039	0.0078	0.3386797905174309	True
SCZ	G6_SLEEPDISOTH	0.2061	0.0912	0.0238	0.0035	0.0069	0.0087	0.09118504848240211	True
SCZ	F5_SLEEP_NOS	0.4233	0.1497	0.0047	0.0018	-0.0057	0.0094	0.1497441087235267	True
SCZ	K11_IBS	0.1431	0.0435	0.001	0.0123	0.0108	0.0081	0.04354452296759147	True
SCZ	K11_FUNCDYSP	0.0362	0.0523	0.4892	0.0078	0.015	0.0087	0.05234024338312475	True
SCZ	K11_REFLUX	0.0678	0.034	0.0463	0.0224	0.0144	0.009	0.03400835727449569	True
SCZ	N14_NEUROMUSCDYSBLADD	0.1715	0.0678	0.0115	0.0048	-0.0087	0.0078	0.06784204996829067	True
SCZ	N14_OTHBLADD	0.2056	0.108	0.0569	0.0022	-0.0004	0.0072	0.10799570266834	True
SCZ	KRA_PSY_DEVWIDE_EXMORE	0.3311	0.1137	0.0036	0.0035	0.0088	0.0084	0.11370579687849547	True
SCZ	KRA_PSY_AUTISM_EXMORE	0.2771	0.0948	0.0035	0.0043	0.0058	0.0082	0.09482200036762227	True
BIP	G6_EPLEPSY	0.1944	0.0539	0.0003	0.0115	0.0018	0.0078	0.053890424072188116	True
BIP	FE	0.2867	0.0867	0.0009	0.0034	-0.0091	0.0072	0.08666867726939172	True
BIP	FE_STRICT	0.3412	0.1016	0.0008	0.0029	-0.012	0.0074	0.10159793137803753	True
BIP	FE_MODE	0.261	0.084	0.0019	0.0034	-0.0092	0.0072	0.08403815943327624	True
BIP	GE	-0.0235	0.0735	0.7494	0.0043	0.0098	0.0075	0.07352416573170079	True
BIP	GE_STRICT	-0.0026	0.1792	0.9886	0.0007	0.0064	0.007	0.17920515271782755	True
BIP	GE_MODE	-0.1119	0.0871	0.199	0.0033	0.0146	0.0073	0.0871407926831978	True
BIP	G6_SLEEPAPNO	0.1352	0.0284	0.0	0.0459	0.0101	0.0079	0.028426036672889735	True
BIP	G6_SLEEPAPNO_INCLAVO	0.1382	0.0284	0.0	0.0467	0.0088	0.008	0.028391842899038656	True
BIP	SLEEP	0.1994	0.0313	0.0	0.0408	0.0101	0.0082	0.03131347502601388	True
BIP	F5_INSOMNIA	0.4296	0.0776	0.0	0.0054	0.0085	0.0073	0.07761042499741591	True
BIP	KRA_PSY_SLEEP_NONORG_EXMORE	0.5639	0.0648	0.0	0.0103	0.0055	0.0078	0.06478749708017403	True
BIP	K11_CONSTIPATION	0.278	0.0405	0.0	0.0138	0.0138	0.0079	0.04048710403275296	True
BIP	K11_OTHFUNC	0.3329	0.0582	0.0	0.0098	-0.0002	0.0078	0.058187505380185675	True
BIP	F5_ADHD	0.4373	0.0736	0.0	0.0054	0.0057	0.008	0.07362093242928729	True
BIP	KRA_PSY_HYPERKIN_EXMORE	0.4571	0.0608	0.0	0.0102	0.0056	0.008	0.06080718673693468	True
BIP	F5_MILDRET				-0.0003	0.0158	0.0071		
BIP	KRA_PSY_MENTALRET_EXMORE	0.2213	0.1263	0.0797	0.0021	0.0035	0.0072	0.12630597142598796	True
BIP	G6_STATUSEPI	0.1395	0.2166	0.5194	0.0008	-0.0005	0.0064	0.21658235952046653	True
BIP	G6_SLEEPDISOTH	0.3172	0.1056	0.0027	0.0035	0.0059	0.0087	0.10561057788927086	True
BIP	F5_SLEEP_NOS	0.4582	0.1632	0.005	0.0018	-0.0025	0.008	0.16318612795620177	True
BIP	K11_IBS	0.1859	0.0532	0.0005	0.0123	0.003	0.0075	0.05321350352891721	True
BIP	K11_FUNCDYSP	0.0997	0.056	0.0751	0.0078	0.003	0.0076	0.056016064089866785	True
BIP	K11_REFLUX	0.1005	0.0414	0.0151	0.0224	0.0018	0.0089	0.041360128612235446	True
BIP	N14_NEUROMUSCDYSBLADD	0.1482	0.0768	0.0536	0.0048	-0.001	0.0077	0.07676524343520465	True
BIP	N14_OTHBLADD	0.2505	0.1165	0.0316	0.0022	0.0047	0.0066	0.11651316610066807	True
BIP	KRA_PSY_DEVWIDE_EXMORE	0.3342	0.1104	0.0025	0.0035	0.0066	0.007	0.11040176148835075	True
BIP	KRA_PSY_AUTISM_EXMORE	0.21	0.0878	0.0168	0.0043	0.0092	0.0069	0.08784986552798414	True
MDD	G6_EPLEPSY	0.3316	0.0449	0.0	0.0115	0.015	0.0085	0.0449255161329212	True
