family	endpoint	source	icd10
Epilepsy	G6_EPLEPSY	HD	G402
Epilepsy	G6_EPLEPSY	HD	G408
Epilepsy	G6_EPLEPSY	HD	G401
Epilepsy	G6_EPLEPSY	HD	G40
Epilepsy	G6_EPLEPSY	HD	G406
Epilepsy	G6_EPLEPSY	HD	G403
Epilepsy	G6_EPLEPSY	HD	G404
Epilepsy	G6_EPLEPSY	HD	G405
Epilepsy	G6_EPLEPSY	HD	G407
Epilepsy	G6_EPLEPSY	HD	G400
Epilepsy	G6_EPLEPSY	HD	G409
Epilepsy	G6_EPLEPSY	COD	G402
Epilepsy	G6_EPLEPSY	COD	G408
Epilepsy	G6_EPLEPSY	COD	G401
Epilepsy	G6_EPLEPSY	COD	G40
Epilepsy	G6_EPLEPSY	COD	G406
Epilepsy	G6_EPLEPSY	COD	G403
Epilepsy	G6_EPLEPSY	COD	G404
Epilepsy	G6_EPLEPSY	COD	G405
Epilepsy	G6_EPLEPSY	COD	G407
Epilepsy	G6_EPLEPSY	COD	G400
Epilepsy	G6_EPLEPSY	COD	G409
Epilepsy	FE	HD	G401
Epilepsy	FE	HD	G402
Epilepsy	FE	HD	G400
Epilepsy	FE	COD	G401
Epilepsy	FE	COD	G402
Epilepsy	FE	COD	G400
Epilepsy	FE_STRICT	HD	G401
Epilepsy	FE_STRICT	HD	G402
Epilepsy	FE_STRICT	HD	G400
Epilepsy	FE_STRICT	COD	G401
Epilepsy	FE_STRICT	COD	G402
Epilepsy	FE_STRICT	COD	G400
Epilepsy	FE_MODE	HD	G401
Epilepsy	FE_MODE	HD	G402
Epilepsy	FE_MODE	HD	G400
Epilepsy	FE_MODE	COD	G401
Epilepsy	FE_MODE	COD	G402
Epilepsy	FE_MODE	COD	G400
Epilepsy	GE	HD	G403
Epilepsy	GE	COD	G403
Epilepsy	GE_STRICT	HD	G403
Epilepsy	GE_STRICT	COD	G403
Epilepsy	GE_MODE	HD	G403
Epilepsy	GE_MODE	COD	G403
Epilepsy	G6_STATUSEPI	HD	G412
Epilepsy	G6_STATUSEPI	HD	G41
Epilepsy	G6_STATUSEPI	HD	G410
Epilepsy	G6_STATUSEPI	HD	G418
Epilepsy	G6_STATUSEPI	HD	G411
Epilepsy	G6_STATUSEPI	HD	G419
Epilepsy	G6_STATUSEPI	COD	G412
Epilepsy	G6_STATUSEPI	COD	G41
Epilepsy	G6_STATUSEPI	COD	G410
Epilepsy	G6_STATUSEPI	COD	G418
Epilepsy	G6_STATUSEPI	COD	G411
Epilepsy	G6_STATUSEPI	COD	G419
Sleep	SLEEP	HD	F515
Sleep	SLEEP	HD	G473
