family	endpoint	longname	cases	controls	n_icd10	icd10_codes	sources	mode_rule	atc	includes	case_conditions	control_exclude	control_conditions	icd9_used	icd8_used	phecodes	phecode_names	icd10_mapped_frac
Epilepsy	G6_EPLEPSY	Epilepsy	15645	374605	11	G40 G400 G401 G402 G403 G404 G405 G406 G407 G408 G409	COD HD KELA_REIMB	False				G6_EPIPAROX		True	True	NS_330 NS_330.1 NS_330.11 NS_330.12	Epilepsy ; Epilepsy, recurrent seizures, convulsions ; Generalized epilepsy ; Partial epilepsy	1.0
Epilepsy	FE	Focal epilepsy	9275	484703	3	G400 G401 G402	COD HD	False				G6_EPLEPSY		True	True	NS_330.12	Partial epilepsy	1.0
Epilepsy	FE_STRICT	Focal epilepsy, strict definition	8458	484697	3	G400 G401 G402	COD HD	False		FE	!GE	G6_EPLEPSY	!GE	False	False	NS_330.12	Partial epilepsy	1.0
Epilepsy	FE_MODE	Focal epilepsy, mode (most common among epilepsy diagnosis)	8030	484703	3	G400 G401 G402	COD HD	True				G6_EPLEPSY		True	True	NS_330.12	Partial epilepsy	1.0
Epilepsy	GE	Generalized epilepsy	1690	484697	1	G403	COD HD	False				G6_EPLEPSY		True	True	NS_330.11	Generalized epilepsy	1.0
Epilepsy	GE_STRICT	Generalized epilepsy, strict definition	873	484697	1	G403	COD HD	False		GE	!FE	G6_EPLEPSY	!FE	False	False	NS_330.11	Generalized epilepsy	1.0
Epilepsy	GE_MODE	Generalized epilepsy, mode (most common among epilepsy diagnosis)	1235	484697	1	G403	COD HD	True				G6_EPLEPSY		True	True	NS_330.11	Generalized epilepsy	1.0
Epilepsy	G6_STATUSEPI	Status epilepticus	1368	374605	6	G41 G410 G411 G412 G418 G419	COD HD	False				G6_EPIPAROX		True	True	NS_330.1	Epilepsy	1.0
Sleep	SLEEP	Sleep disorders (combined)	65076	430194	17	F51 F510 F511 F512 F513 F514 F515 F518 F519 G47 G470 G471 G472 G473 G474 G478 G479	COD HD KELA_REIMB	False		F5_SLEEP G6_SLEEPAPNO G6_NARCOCATA G6_SLEEPDISOTH		F5_BEHAVE		False	False	NS_333 NS_333.1 NS_333.2 NS_333.3 NS_333.4 NS_333.5 NS_333.54 NS_333.55 NS_333.7	Circadian rhythm sleep disorder ; Hypersomnia ; Insomnia ; Narcolepsy ; Parasomnias ; Sleep apnea ; Sleep disorders ; Sleep terrors [night terrors]* ; Sleepwalking [somnambulism]*	1.0
Sleep	G6_SLEEPAPNO	Sleep apnoea	56885	441137	1	G473	COD HD	False				G6_NARCOCATA|G6_SLEEPDISOTH		True	False	NS_333.1	Sleep apnea	1.0
Sleep	G6_SLEEPAPNO_INCLAVO	Sleep apnoea, including avohilmo	62722	437626	1	G473	COD HD OUTPAT	False		G6_SLEEPAPNO				False	False	NS_333.1	Sleep apnea	1.0
Sleep	F5_INSOMNIA	Insomnia	6776	490763	2	F510 G470	COD HD	False				F5_SLEEP		False	False	NS_333.2	Insomnia	1.0
