family	def1	def2	icd10_jaccard	source_jaccard	phecode_jaccard	mode_differs	conditions_differ	controls_differ	log_case_ratio
Epilepsy	G6_EPLEPSY	FE	0.2727272727272727	0.6666666666666666	0.25	False	False	True	0.5228287686273466
Epilepsy	G6_EPLEPSY	FE_STRICT	0.2727272727272727	0.6666666666666666	0.25	False	True	True	0.6150386380705487
Epilepsy	G6_EPLEPSY	FE_MODE	0.2727272727272727	0.6666666666666666	0.25	True	False	True	0.6669668491621752
Epilepsy	G6_EPLEPSY	GE	0.09090909090909091	0.6666666666666666	0.25	False	False	True	2.2254228481858633
Epilepsy	G6_EPLEPSY	GE_STRICT	0.09090909090909091	0.6666666666666666	0.25	False	True	True	2.8859711002633803
Epilepsy	G6_EPLEPSY	GE_MODE	0.09090909090909091	0.6666666666666666	0.25	True	False	True	2.5390804070409048
Epilepsy	G6_EPLEPSY	G6_STATUSEPI	0.0	0.6666666666666666	0.25	False	False	False	2.4368015579204867
Epilepsy	FE	FE_STRICT	1.0	1.0	1.0	False	True	True	0.0922098694432019
Epilepsy	FE	FE_MODE	1.0	1.0	1.0	True	False	False	0.1441380805348285
Epilepsy	FE	GE	0.0	1.0	0.0	False	False	False	1.7025940795585168
Epilepsy	FE	GE_STRICT	0.0	1.0	0.0	False	True	True	2.3631423316360336
Epilepsy	FE	GE_MODE	0.0	1.0	0.0	True	False	False	2.0162516384135585
Epilepsy	FE	G6_STATUSEPI	0.0	1.0	0.0	False	False	True	1.9139727892931402
Epilepsy	FE_STRICT	FE_MODE	1.0	1.0	1.0	True	True	True	0.05192821109162644
Epilepsy	FE_STRICT	GE	0.0	1.0	0.0	False	True	True	1.6103842101153147
Epilepsy	FE_STRICT	GE_STRICT	0.0	1.0	0.0	False	True	True	2.2709324621928317
Epilepsy	FE_STRICT	GE_MODE	0.0	1.0	0.0	True	True	True	1.9240417689703564
Epilepsy	FE_STRICT	G6_STATUSEPI	0.0	1.0	0.0	False	True	True	1.821762919849938
Epilepsy	FE_MODE	GE	0.0	1.0	0.0	True	False	False	1.5584559990236881
Epilepsy	FE_MODE	GE_STRICT	0.0	1.0	0.0	True	True	True	2.219004251101205
Epilepsy	FE_MODE	GE_MODE	0.0	1.0	0.0	False	False	False	1.8721135578787298
Epilepsy	FE_MODE	G6_STATUSEPI	0.0	1.0	0.0	True	False	True	1.7698347087583115
Epilepsy	GE	GE_STRICT	1.0	1.0	1.0	False	True	True	0.660548252077517
Epilepsy	GE	GE_MODE	1.0	1.0	1.0	True	False	False	0.3136575588550416
Epilepsy	GE	G6_STATUSEPI	0.0	1.0	0.0	False	False	True	0.21137870973462342
Epilepsy	GE_STRICT	GE_MODE	1.0	1.0	1.0	True	True	True	0.3468906932224753
Epilepsy	GE_STRICT	G6_STATUSEPI	0.0	1.0	0.0	False	True	True	0.4491695423428935
Epilepsy	GE_MODE	G6_STATUSEPI	0.0	1.0	0.0	True	False	True	0.10227884912041818
Sleep	SLEEP	G6_SLEEPAPNO	0.058823529411764705	0.6666666666666666	0.1111111111111111	False	False	True	0.1345241316552441
Sleep	SLEEP	G6_SLEEPAPNO_INCLAVO	0.058823529411764705	0.5	0.1111111111111111	False	False	True	0.036843554358073044
Sleep	SLEEP	F5_INSOMNIA	0.11764705882352941	0.6666666666666666	0.1111111111111111	False	False	True	2.2621688602971703
Sleep	SLEEP	KRA_PSY_SLEEP_NONORG_EXMORE	0.5294117647058824	0.6666666666666666	0.6666666666666666	False	False	True	2.054972332635913
Sleep	SLEEP	G6_SLEEPDISOTH	0.47058823529411764	0.6666666666666666	0.6666666666666666	False	False	True	2.6440794466825355
Sleep	SLEEP	F5_SLEEP_NOS	0.11764705882352941	0.6666666666666666	0.1111111111111111	False	False	True	3.9532125865034833
Sleep	G6_SLEEPAPNO	G6_SLEEPAPNO_INCLAVO	1.0	0.6666666666666666	1.0	False	False	True	0.09768057729717093
Sleep	G6_SLEEPAPNO	F5_INSOMNIA	0.0	1.0	0.0	False	False	True	2.1276447286419264
Sleep	G6_SLEEPAPNO	KRA_PSY_SLEEP_NONORG_EXMORE	0.0	1.0	0.0	False	False	True	1.9204482009806687
Sleep	G6_SLEEPAPNO	G6_SLEEPDISOTH	0.125	1.0	0.16666666666666666	False	False	True	2.509555315027291
Sleep	G6_SLEEPAPNO	F5_SLEEP_NOS	0.0	1.0	0.0	False	False	True	3.8186884548482394
Sleep	G6_SLEEPAPNO_INCLAVO	F5_INSOMNIA	0.0	0.6666666666666666	0.0	False	False	True	2.2253253059390974
Sleep	G6_SLEEPAPNO_INCLAVO	KRA_PSY_SLEEP_NONORG_EXMORE	0.0	0.6666666666666666	0.0	False	False	True	2.01812877827784
Sleep	G6_SLEEPAPNO_INCLAVO	G6_SLEEPDISOTH	0.125	0.6666666666666666	0.16666666666666666	False	False	True	2.6072358923244625
Sleep	G6_SLEEPAPNO_INCLAVO	F5_SLEEP_NOS	0.0	0.6666666666666666	0.0	False	False	True	3.9163690321454103
Sleep	F5_INSOMNIA	KRA_PSY_SLEEP_NONORG_EXMORE	0.1	1.0	0.16666666666666666	False	False	True	0.20719652766125782
Sleep	F5_INSOMNIA	G6_SLEEPDISOTH	0.1111111111111111	1.0	0.16666666666666666	False	False	True	0.38191058638536474
Sleep	F5_INSOMNIA	F5_SLEEP_NOS	0.0	1.0	0.0	False	False	False	1.6910437262063127
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	G6_SLEEPDISOTH	0.0	1.0	0.3333333333333333	False	False	True	0.5891071140466226
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	F5_SLEEP_NOS	0.2222222222222222	1.0	0.16666666666666666	False	False	True	1.8982402538675704
Sleep	G6_SLEEPDISOTH	F5_SLEEP_NOS	0.0	1.0	0.16666666666666666	False	False	True	1.309133139820948
Bowel	K11_CONSTIPATION	K11_OTHFUNC	0.125	0.6666666666666666	0.16666666666666666	False	False	True	0.8161211235429875
Bowel	K11_CONSTIPATION	K11_IBS	0.0	0.6666666666666666	0.3333333333333333	False	False	True	1.3650420854602314
Bowel	K11_CONSTIPATION	K11_FUNCDYSP	0.0	0.6666666666666666	0.0	False	False	True	1.4506840494400641
Bowel	K11_CONSTIPATION	K11_REFLUX	0.0	0.6666666666666666	0.0	False	False	True	0.3661840646594518
Bowel	K11_OTHFUNC	K11_IBS	0.0	1.0	0.2857142857142857	False	False	False	0.5489209619172442
Bowel	K11_OTHFUNC	K11_FUNCDYSP	0.0	1.0	0.0	False	False	True	0.6345629258970766
Bowel	K11_OTHFUNC	K11_REFLUX	0.0	1.0	0.0	False	False	True	0.44993705888353563
Bowel	K11_IBS	K11_FUNCDYSP	0.0	1.0	0.0	False	False	True	0.08564196397983255
Bowel	K11_IBS	K11_REFLUX	0.0	1.0	0.0	False	False	True	0.9988580208007799
Bowel	K11_FUNCDYSP	K11_REFLUX	0.0	1.0	0.0	False	False	False	1.0844999847806123
Bladder	N14_NEUROMUSCDYSBLADD	N14_OTHBLADD	0.0	1.0	0.0	False	False	False	0.2804021166333543
ADHD	F5_ADHD	KRA_PSY_HYPERKIN_EXMORE	0.2	1.0	1.0	False	False	True	0.0620505905283163
Intellectual disability	F5_MILDRET	KRA_PSY_MENTALRET_EXMORE	0.16666666666666666	1.0	0.2	False	False	True	0.44799429733489887
Autism	KRA_PSY_DEVWIDE_EXMORE	KRA_PSY_AUTISM_EXMORE	0.2222222222222222	1.0	0.5	False	False	False	0.2834501575452008
