trait	kind	samp_prev	pop_prev	scale	h2	h2_se	h2_z	lambda_gc	mean_chi2	intercept	intercept_se
ASD	psychiatric	0.3965695792880259	0.012	liability	0.1169	0.0101	11.574257425742575	1.1715	1.1998	1.0084	0.0096
SCZ	psychiatric	0.5	0.01	liability	0.4293	0.0149	28.812080536912752	1.7688	2.0498	1.103	0.0138
BIP	psychiatric	0.5	0.02	liability	0.1833	0.0076	24.11842105263158	1.4673	1.6114	1.0394	0.011
MDD	psychiatric	0.5	0.15	liability	0.0594	0.002	29.7	1.8606	2.2051	1.0895	0.014
PTSD	psychiatric			observed	0.0532	0.002	26.599999999999998	1.5511	1.7194	1.0524	0.0097
MDD_EHR	psychiatric	0.5	0.15	liability	0.0569	0.002	28.45	1.6372	1.834	1.0469	0.012
MDD_Clin	psychiatric	0.5	0.15	liability	0.1135	0.0119	9.53781512605042	1.1333	1.1355	1.0133	0.0074
F5_ADHD	finngen	0.00899103320138945	0.00899103320138945	liability	0.0916	0.0164	5.585365853658536	1.1019	1.1115	1.0526	0.0084
F5_INSOMNIA	finngen	0.013619032879834545	0.013619032879834545	liability	0.0624	0.0115	5.426086956521739	1.0649	1.067	1.0109	0.0073
F5_MILDRET	finngen	0.0018269536698156438	0.0018269536698156438	liability	-0.0057	0.054	-0.10555555555555556	1.0105	1.0121	1.0132	0.0073
F5_SLEEP_NOS	finngen	0.002538555970179589	0.002538555970179589	liability	0.0596	0.0415	1.436144578313253	1.0195	1.0131	0.9988	0.007
FE	finngen	0.01877613982808951	0.01877613982808951	liability	0.0264	0.0091	2.901098901098901	1.0375	1.0412	1.0114	0.0077
FE_MODE	finngen	0.016296858542050156	0.016296858542050156	liability	0.0279	0.0098	2.8469387755102042	1.0375	1.0381	1.0097	0.0078
FE_STRICT	finngen	0.01715079437499366	0.01715079437499366	liability	0.0237	0.0092	2.5760869565217392	1.0315	1.0331	1.0081	0.0074
G6_EPLEPSY	finngen	0.04008968609865471	0.04008968609865471	liability	0.0546	0.0085	6.423529411764706	1.0926	1.1076	1.0245	0.0082
G6_SLEEPAPNO	finngen	0.11422186168482516	0.11422186168482516	liability	0.1248	0.0059	21.152542372881356	1.5108	1.5868	1.1319	0.012
G6_SLEEPAPNO_INCLAVO	finngen	0.12535675170081623	0.12535675170081623	liability	0.1201	0.0056	21.446428571428573	1.5108	1.6003	1.1375	0.0118
G6_SLEEPDISOTH	finngen	0.01219576510297181	0.01219576510297181	liability	0.0387	0.0163	2.374233128834356	1.0285	1.0281	1.0033	0.0077
G6_STATUSEPI	finngen	0.0036385591518539894	0.0036385591518539894	liability	0.0321	0.0357	0.899159663865546	1.0195	1.0132	1.0054	0.0067
GE	finngen	0.003474599444475284	0.003474599444475284	liability	0.1349	0.0322	4.1894409937888195	1.0527	1.0523	1.0107	0.007
GE_MODE	finngen	0.002541507865298025	0.002541507865298025	liability	0.1541	0.0426	3.617370892018779	1.0436	1.0448	1.008	0.0073
GE_STRICT	finngen	0.0017978870193792861	0.0017978870193792861	liability	0.079	0.0485	1.6288659793814433	1.0285	1.0269	1.013	0.007
K11_CONSTIPATION	finngen	0.10383972754962546	0.10383972754962546	liability	0.0393	0.0041	9.585365853658535	1.207	1.2076	1.0752	0.0087
K11_FUNCDYSP	finngen	0.027935792863630942	0.027935792863630942	liability	0.0547	0.0075	7.293333333333333	1.0926	1.0945	1.0228	0.0071
K11_IBS	finngen	0.03252016578715811	0.03252016578715811	liability	0.0724	0.0081	8.938271604938272	1.1238	1.1214	1.0239	0.007
K11_OTHFUNC	finngen	0.0549968039033079	0.0549968039033079	liability	0.0423	0.0055	7.6909090909090905	1.1207	1.1212	1.0395	0.0076
K11_REFLUX	finngen	0.07834757834757834	0.07834757834757834	liability	0.0759	0.0048	15.8125	1.2564	1.2699	1.0626	0.0084
KRA_PSY_AUTISM_EXMORE	finngen	0.0024449877750611247	0.0024449877750611247	liability	0.1658	0.0513	3.2319688109161797	1.0496	1.0378	1.0097	0.0068
KRA_PSY_DEVWIDE_EXMORE	finngen	0.0032436179958897663	0.0032436179958897663	liability	0.1111	0.0381	2.916010498687664	1.0496	1.039	1.0152	0.0067
KRA_PSY_HYPERKIN_EXMORE	finngen	0.012905915142994924	0.012905915142994924	liability	0.1273	0.0185	6.881081081081081	1.1301	1.1441	1.0643	0.0086
KRA_PSY_MENTALRET_EXMORE	finngen	0.0039294621668962745	0.0039294621668962745	liability	0.0634	0.0373	1.6997319034852547	1.0135	1.0209	1.0046	0.0071
KRA_PSY_SLEEP_NONORG_EXMORE	finngen	0.022490826678178286	0.022490826678178286	liability	0.0805	0.0106	7.59433962264151	1.0926	1.0953	1.0193	0.0076
N14_NEUROMUSCDYSBLADD	finngen	0.008724974070851705	0.008724974070851705	liability	0.0603	0.0173	3.485549132947977	1.0375	1.0363	1.0058	0.0072
N14_OTHBLADD	finngen	0.01151639474838675	0.01151639474838675	liability	0.0212	0.014	1.5142857142857142	1.0285	1.0334	1.0197	0.0075
SLEEP	finngen	0.13139499666848387	0.13139499666848387	liability	0.1044	0.0053	19.69811320754717	1.453	1.522	1.1133	0.0111
