trait1	trait2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
ASD	F5_ADHD	0.5283	0.1076	4.9078	0.0	0.0056	0.0012	1.0567	0.009	0.0036	0.0065
ASD	F5_INSOMNIA	0.2007	0.1031	1.9467	0.0516	0.0054	0.0011	1.0136	0.009	0.0037	0.0065
ASD	F5_MILDRET					-0.0	0.001	1.0115	0.0085	0.0011	0.0055
ASD	F5_SLEEP_NOS	0.261	0.2393	1.0906	0.2754	0.0017	0.0011	0.9963	0.0083	-0.0016	0.0072
ASD	FE	-0.1065	0.1148	-0.9276	0.3536	0.0032	0.0011	1.0097	0.0089	0.0059	0.006
ASD	FE_MODE	-0.1924	0.1226	-1.5686	0.1167	0.0031	0.0011	1.0082	0.0091	0.0088	0.006
ASD	FE_STRICT	-0.1294	0.1274	-1.0156	0.3098	0.0027	0.001	1.0063	0.0087	0.0076	0.006
ASD	G6_EPLEPSY	-0.0205	0.0783	-0.2614	0.7938	0.011	0.0018	1.0203	0.0101	0.0049	0.0068
ASD	G6_SLEEPAPNO	0.1158	0.0497	2.3292	0.0198	0.046	0.0026	1.13	0.0152	0.0012	0.0079
ASD	G6_SLEEPAPNO_INCLAVO	0.1047	0.0503	2.0844	0.0371	0.0467	0.0026	1.1356	0.0157	0.0041	0.0081
ASD	G6_SLEEPDISOTH	0.1125	0.1853	0.6072	0.5437	0.0035	0.0016	1.0014	0.0095	0.0072	0.0072
ASD	G6_STATUSEPI	-0.0886	0.2725	-0.325	0.7452	0.0008	0.0013	1.0074	0.0081	0.0049	0.0061
ASD	GE	-0.0221	0.0973	-0.2275	0.8201	0.0041	0.0011	1.0119	0.0091	-0.0012	0.0063
ASD	GE_MODE	-0.0236	0.1084	-0.2176	0.8277	0.0032	0.0012	1.0136	0.0088	-0.0005	0.0058
ASD	GE_STRICT	-0.1317	0.2884	-0.4568	0.6478	0.0005	0.001	1.0236	0.0087	0.0018	0.0054
ASD	K11_CONSTIPATION	0.1063	0.0586	1.8129	0.0698	0.0135	0.0015	1.0782	0.011	-0.0023	0.0064
ASD	K11_FUNCDYSP	0.104	0.0857	1.2137	0.2249	0.0079	0.0012	1.0252	0.0085	-0.0001	0.0059
ASD	K11_IBS	0.2164	0.0734	2.9492	0.0032	0.012	0.0014	1.0247	0.0088	-0.0117	0.0065
ASD	K11_OTHFUNC	0.1168	0.0768	1.5214	0.1282	0.0099	0.0013	1.0411	0.009	-0.0044	0.0065
ASD	K11_REFLUX	0.0798	0.0602	1.3259	0.1849	0.0227	0.0015	1.0608	0.0096	-0.0	0.0069
