family	endpoint	cases	icd10_codes	icd10_in_omop	icd10_mapped_to_snomed	snomed_from_icd10	icd9_patterns	icd9cm_concepts_matched	snomed_from_icd9	snomed_total	uses_icd8_unmappable	atc_classes	rxnorm_ingredients
Epilepsy	G6_EPLEPSY	15645	11	11	11	7	2	27	13	16	True		0
Epilepsy	FE	9275	3	3	3	1	2	6	3	3	True		0
Epilepsy	FE_STRICT	8458	3	3	3	1	2	6	3	3	True		0
Epilepsy	FE_MODE	8030	3	3	3	1	2	6	3	3	True		0
Epilepsy	GE	1690	1	1	1	1	2	8	5	6	True		0
Epilepsy	GE_STRICT	873	1	1	1	1	2	8	5	6	True		0
Epilepsy	GE_MODE	1235	1	1	1	1	2	8	5	6	True		0
Epilepsy	G6_STATUSEPI	1368	6	6	6	4	4	2	2	4	True		0
Sleep	SLEEP	65076	17	17	17	13	12	17	9	17	True		0
Sleep	G6_SLEEPAPNO	56885	1	1	1	1	2	0	0	1	False		0
Sleep	G6_SLEEPAPNO_INCLAVO	62722	1	1	1	1	2	0	0	1	False		0
Sleep	F5_INSOMNIA	6776	2	2	2	2	0	0	0	2	False		0
Sleep	KRA_PSY_SLEEP_NONORG_EXMORE	8336	9	9	9	7	2	11	6	11	True		0
Sleep	G6_SLEEPDISOTH	4625	8	8	8	6	4	11	6	10	False		0
Sleep	F5_SLEEP_NOS	1249	2	2	2	1	0	0	0	1	False		0
Bowel	K11_CONSTIPATION	51956	1	1	1	1	0	0	0	1	False	A06A	532
Bowel	K11_OTHFUNC	22972	8	8	8	6	2	17	14	14	True		0
Bowel	K11_IBS	13268	5	5	5	4	2	1	1	4	True		0
Bowel	K11_FUNCDYSP	12179	1	1	1	1	2	1	1	2	True		0
Bowel	K11_REFLUX	36025	3	3	3	3	2	6	4	6	False		0
Bladder	N14_NEUROMUSCDYSBLADD	3550	6	6	6	5	2	7	5	9	False		0
Bladder	N14_OTHBLADD	4699	8	8	8	6	6	13	9	14	True		0
ADHD	F5_ADHD	4452	1	1	1	1	2	3	2	2	False		0
ADHD	KRA_PSY_HYPERKIN_EXMORE	4737	5	5	5	3	2	8	4	4	False		0
Intellectual disability	F5_MILDRET	913	5	5	5	1	2	0	0	1	True		0
Intellectual disability	KRA_PSY_MENTALRET_EXMORE	1429	30	30	30	7	2	6	5	7	True		0
Autism	KRA_PSY_DEVWIDE_EXMORE	1179	9	9	9	8	2	9	5	11	False		0
Autism	KRA_PSY_AUTISM_EXMORE	888	2	2	2	2	2	3	3	4	False		0
