endpoint	snomed_concept_id	from_icd10	domain_id
G6_EPLEPSY	37163420	False	Condition
G6_EPLEPSY	37167166	False	Condition
G6_EPLEPSY	373748	False	Condition
G6_EPLEPSY	374023	False	Condition
G6_EPLEPSY	37470337	False	Condition
G6_EPLEPSY	374915	True	Condition
G6_EPLEPSY	380378	True	Condition
G6_EPLEPSY	381842	False	Condition
G6_EPLEPSY	4029498	False	Condition
G6_EPLEPSY	4047897	True	Condition
G6_EPLEPSY	4055361	True	Condition
G6_EPLEPSY	4179936	True	Condition
G6_EPLEPSY	4197485	True	Condition
G6_EPLEPSY	4236312	False	Condition
G6_EPLEPSY	4274575	True	Condition
G6_EPLEPSY	43530626	False	Condition
FE	374915	True	Condition
FE	4236312	False	Condition
FE	43530626	False	Condition
FE_STRICT	374915	True	Condition
FE_STRICT	4236312	False	Condition
FE_STRICT	43530626	False	Condition
FE_MODE	374915	True	Condition
FE_MODE	4236312	False	Condition
FE_MODE	43530626	False	Condition
GE	37167166	False	Condition
GE	373748	False	Condition
GE	381842	False	Condition
GE	4047897	False	Condition
GE	4055361	False	Condition
GE	4274575	True	Condition
GE_STRICT	37167166	False	Condition
GE_STRICT	373748	False	Condition
GE_STRICT	381842	False	Condition
GE_STRICT	4047897	False	Condition
GE_STRICT	4055361	False	Condition
GE_STRICT	4274575	True	Condition
GE_MODE	37167166	False	Condition
GE_MODE	373748	False	Condition
GE_MODE	381842	False	Condition
GE_MODE	4047897	False	Condition
GE_MODE	4055361	False	Condition
GE_MODE	4274575	True	Condition
G6_STATUSEPI	373748	True	Condition
G6_STATUSEPI	381842	True	Condition
G6_STATUSEPI	40483620	True	Condition
G6_STATUSEPI	4332304	True	Condition
SLEEP	313459	True	Condition
SLEEP	374905	True	Condition
SLEEP	377266	True	Condition
SLEEP	377535	True	Condition
SLEEP	4047912	True	Condition
SLEEP	40482260	False	Condition
SLEEP	4102985	True	Condition
SLEEP	4108537	True	Condition
SLEEP	4170260	True	Condition
SLEEP	4232324	True	Condition
SLEEP	434334	False	Condition
SLEEP	43531721	False	Condition
SLEEP	435524	True	Condition
SLEEP	435786	True	Condition
SLEEP	436100	False	Condition
SLEEP	437854	True	Condition
SLEEP	439708	True	Condition
G6_SLEEPAPNO	313459	True	Condition
G6_SLEEPAPNO_INCLAVO	313459	True	Condition
F5_INSOMNIA	4102985	True	Condition
F5_INSOMNIA	439708	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	374905	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	377266	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	377535	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	4047912	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	40482260	False	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	4102985	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	4170260	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	4232324	True	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	434334	False	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	435524	False	Condition
KRA_PSY_SLEEP_NONORG_EXMORE	439708	False	Condition
G6_SLEEPDISOTH	313459	True	Condition
G6_SLEEPDISOTH	374905	False	Condition
G6_SLEEPDISOTH	377266	False	Condition
G6_SLEEPDISOTH	40482260	False	Condition
G6_SLEEPDISOTH	4108537	True	Condition
G6_SLEEPDISOTH	434334	False	Condition
G6_SLEEPDISOTH	435524	True	Condition
G6_SLEEPDISOTH	435786	True	Condition
G6_SLEEPDISOTH	437854	True	Condition
G6_SLEEPDISOTH	439708	True	Condition
F5_SLEEP_NOS	374905	True	Condition
K11_CONSTIPATION	75860	True	Condition
K11_OTHFUNC	194985	False	Condition
K11_OTHFUNC	196151	True	Condition
K11_OTHFUNC	198465	True	Condition
K11_OTHFUNC	200447	False	Condition
K11_OTHFUNC	201900	True	Condition
K11_OTHFUNC	201905	False	Condition
K11_OTHFUNC	22666	False	Condition
K11_OTHFUNC	4000610	False	Condition
K11_OTHFUNC	4093017	True	Condition
K11_OTHFUNC	4302528	False	Condition
K11_OTHFUNC	75576	False	Condition
K11_OTHFUNC	75860	True	Condition
K11_OTHFUNC	79061	False	Condition
K11_OTHFUNC	80141	True	Condition
K11_IBS	4057826	True	Condition
K11_IBS	4234788	True	Condition
K11_IBS	4261072	True	Condition
K11_IBS	75576	True	Condition
K11_FUNCDYSP	197913	False	Condition
K11_FUNCDYSP	4289526	True	Condition
K11_REFLUX	26459	False	Condition
K11_REFLUX	27918	False	Condition
K11_REFLUX	30437	True	Condition
K11_REFLUX	30753	False	Condition
K11_REFLUX	318800	True	Condition
K11_REFLUX	4144111	True	Condition
N14_NEUROMUSCDYSBLADD	195312	False	Condition
N14_NEUROMUSCDYSBLADD	196736	False	Condition
N14_NEUROMUSCDYSBLADD	199075	True	Condition
N14_NEUROMUSCDYSBLADD	200774	False	Condition
N14_NEUROMUSCDYSBLADD	4009573	True	Condition
N14_NEUROMUSCDYSBLADD	4144895	True	Condition
N14_NEUROMUSCDYSBLADD	4262178	True	Condition
N14_NEUROMUSCDYSBLADD	45757770	True	Condition
N14_NEUROMUSCDYSBLADD	76153	False	Condition
N14_OTHBLADD	195312	False	Condition
N14_OTHBLADD	195864	True	Condition
N14_OTHBLADD	196736	False	Condition
N14_OTHBLADD	197037	True	Condition
N14_OTHBLADD	199075	False	Condition
N14_OTHBLADD	200774	False	Condition
N14_OTHBLADD	201337	True	Condition
N14_OTHBLADD	201344	True	Condition
N14_OTHBLADD	201345	True	Condition
N14_OTHBLADD	4132457	False	Condition
N14_OTHBLADD	42537740	False	Observation
N14_OTHBLADD	433813	True	Condition
N14_OTHBLADD	601170	False	Condition
N14_OTHBLADD	76153	False	Condition
F5_ADHD	4149353	True	Condition
F5_ADHD	438409	False	Condition
KRA_PSY_HYPERKIN_EXMORE	4149353	True	Condition
KRA_PSY_HYPERKIN_EXMORE	4262921	False	Condition
KRA_PSY_HYPERKIN_EXMORE	438132	True	Condition
KRA_PSY_HYPERKIN_EXMORE	438409	True	Condition
F5_MILDRET	432612	True	Condition
KRA_PSY_MENTALRET_EXMORE	40277917	True	Condition
KRA_PSY_MENTALRET_EXMORE	4043545	True	Condition
KRA_PSY_MENTALRET_EXMORE	4299505	True	Condition
KRA_PSY_MENTALRET_EXMORE	432612	True	Condition
KRA_PSY_MENTALRET_EXMORE	432898	True	Condition
KRA_PSY_MENTALRET_EXMORE	436682	True	Condition
KRA_PSY_MENTALRET_EXMORE	438733	True	Condition
KRA_PSY_DEVWIDE_EXMORE	40277917	True	Condition
KRA_PSY_DEVWIDE_EXMORE	4053178	True	Condition
KRA_PSY_DEVWIDE_EXMORE	4195305	True	Condition
KRA_PSY_DEVWIDE_EXMORE	4288480	True	Condition
KRA_PSY_DEVWIDE_EXMORE	43020503	False	Condition
KRA_PSY_DEVWIDE_EXMORE	4338037	True	Condition
KRA_PSY_DEVWIDE_EXMORE	434902	True	Condition
KRA_PSY_DEVWIDE_EXMORE	439702	False	Condition
KRA_PSY_DEVWIDE_EXMORE	439703	False	Condition
KRA_PSY_DEVWIDE_EXMORE	439776	True	Condition
KRA_PSY_DEVWIDE_EXMORE	441535	True	Condition
KRA_PSY_AUTISM_EXMORE	4053178	True	Condition
KRA_PSY_AUTISM_EXMORE	434902	True	Condition
KRA_PSY_AUTISM_EXMORE	439702	False	Condition
KRA_PSY_AUTISM_EXMORE	439703	False	Condition
